NAME,STUSPS,INTPTLAT,INTPTLON
Kimball,NE,+41.1992736,-103.7031528
Kendall,IL,+41.5881403,-088.4306257
District of Columbia,DC,+38.9042474,-077.0165167
Montrose,CO,+38.4075069,-108.2662815
Wright,MN,+45.1750914,-093.9663964
Kenosha,WI,+42.5875256,-087.8799955
Eagle,CO,+39.6269919,-106.6951694
San Francisco,CA,+37.7272391,-123.0322294
San Miguel,CO,+38.0093190,-108.4272635
Anchorage,AK,+61.1742503,-149.2843294
St. Johns,FL,+29.8904875,-081.4000404
Choctaw,MS,+33.3459638,-089.2513319
Grundy,MO,+40.1125409,-093.5650538
Lake,MI,+43.9951867,-085.8113997
Ottawa,MI,+43.0549690,-086.2193493
Cook,IL,+41.8942937,-087.6454546
Gallatin,IL,+37.7686768,-088.2279642
Greenwood,SC,+34.1557959,-082.1278759
Franklin,KS,+38.5580187,-095.2789618
Clay,MN,+46.8983772,-096.4949007
Haywood,TN,+35.5866782,-089.2826913
Box Elder,UT,+41.6226233,-113.0602520
Tippah,MS,+34.7636183,-088.9188185
Marshall,WV,+39.8544259,-080.6717944
Jackson,WV,+38.8342339,-081.6777168
Elmore,ID,+43.3946984,-115.4712050
Baltimore,MD,+39.4431666,-076.6165693
Benson,ND,+48.0717430,-099.3511517
Pike,MO,+39.3399592,-091.1716071
Lawrence,OH,+38.6038659,-082.5171856
Scott,MO,+37.0477927,-089.5680975
Adams,OH,+38.8344683,-083.4780816
Erath,TX,+32.2366689,-098.2205446
Habersham,GA,+34.6343924,-083.5258749
Wilkinson,GA,+32.8042663,-083.1755122
Monongalia,WV,+39.6336448,-080.0590736
Crawford,OH,+40.8485244,-082.9247827
DeSoto,FL,+27.1905809,-081.8062531
Guernsey,OH,+40.0566648,-081.4978750
Barry,MI,+42.5828109,-085.3145503
Stone,MO,+36.7458225,-093.4578424
Richmond,VA,+37.5313990,-077.4760085
Stokes,NC,+36.3937966,-080.2699209
Clarke,IA,+41.0297257,-093.7852594
Fayette,IA,+42.8641219,-091.8403761
Marin,CA,+38.0513667,-122.7463958
Randall,TX,+34.9625290,-101.8955472
Rusk,TX,+32.1094232,-094.7563823
Warren,IA,+41.3324459,-093.5687512
Van Wert,OH,+40.8555203,-084.5857751
Glades,FL,+26.9548102,-081.1908197
Meriwether,GA,+33.0292666,-084.6670579
Costilla,CO,+37.2775474,-105.4289399
Coryell,TX,+31.3911774,-097.7980223
Adair,IA,+41.3285283,-094.4781643
Chattahoochee,GA,+32.3474454,-084.7880206
Mariposa,CA,+37.5743432,-119.9117215
Howard,MO,+39.1433650,-092.6959255
Marion,OR,+44.9008984,-122.5762602
Milwaukee,WI,+42.9126431,-087.8623115
Scott,MN,+44.6518111,-093.5337328
Pickaway,OH,+39.6489470,-083.0528267
Powhatan,VA,+37.5494041,-077.9128553
Broomfield,CO,+39.9535933,-105.0507868
Lawrence,TN,+35.2204764,-087.3965460
Antrim,MI,+45.0054553,-085.1756390
Marlboro,SC,+34.6016700,-079.6794351
Benewah,ID,+47.2184513,-116.6335414
Lee,IL,+41.7474465,-089.2993616
Nemaha,NE,+40.3872382,-095.8524609
Carteret,NC,+34.8583428,-076.5358602
Pottawatomie,KS,+39.3821868,-096.3371126
Jackson,MI,+42.2484738,-084.4208679
Comal,TX,+29.8123773,-098.2581288
Nantucket,MA,+41.2933918,-070.1021635
Bamberg,SC,+33.2030211,-081.0531607
Aransas,TX,+28.1226209,-096.9675012
Berrien,GA,+31.2886522,-083.2278695
Vermillion,IN,+39.8540452,-087.4620713
Roscommon,MI,+44.3395168,-084.6112715
Alleghany,NC,+36.4893563,-081.1322987
Lassen,CA,+40.7152866,-120.6212225
Falls Church,VA,+38.8847220,-077.1756027
Manatee,FL,+27.4755558,-082.3931438
Muskingum,OH,+39.9660457,-081.9435064
Chaffee,CO,+38.7345986,-106.3000246
Crowley,CO,+38.3061801,-103.7727363
Fremont,CO,+38.4551697,-105.4249582
Pearl River,MS,+30.7747929,-089.5869043
Perry,MS,+31.1693073,-088.9887554
Custer,NE,+41.3938927,-099.7268662
Calhoun,FL,+30.3888013,-085.1979155
Kenton,KY,+38.9305031,-084.5334381
Chickasaw,IA,+43.0597409,-092.3172101
DeKalb,IL,+41.8946125,-088.7689910
Hancock,IA,+43.0754105,-093.7436965
Stark,ND,+46.8170312,-102.6620262
Luce,MI,+46.5109878,-085.5175518
Carter,OK,+34.2518484,-097.2879273
Pasquotank,NC,+36.2651986,-076.2606907
Taos,NM,+36.5771832,-105.6388781
Bolivar,MS,+33.7991391,-090.8841199
Nye,NV,+37.9658636,-116.4590107
Hawkins,TN,+36.4520892,-082.9314850
Bowman,ND,+46.1101438,-103.5059433
Fulton,PA,+39.9107505,-078.1226171
Lafayette,LA,+30.2065065,-092.0641700
Jack,TX,+33.2321604,-098.1711775
Stark,IL,+41.0969077,-089.7974111
Greer,OK,+34.9338533,-099.5529675
Hemphill,TX,+35.8159564,-100.2792102
Nez Perce,ID,+46.3337914,-116.7609091
Walworth,SD,+45.4276046,-100.0278563
Napa,CA,+38.5070999,-122.3259045
Cotton,OK,+34.2906760,-098.3734379
Washington,MO,+37.9426107,-090.8970179
Cayuga,NY,+43.0085456,-076.5745866
Shackelford,TX,+32.7438198,-099.3470045
San Jacinto,TX,+30.5743884,-095.1631363
Dubuque,IA,+42.4634808,-090.8787708
Goochland,VA,+37.7188141,-077.9176263
Sherman,KS,+39.3513521,-101.7198590
Richland,OH,+40.7741590,-082.5427812
Adams,IL,+39.9860525,-091.1949607
Champaign,OH,+40.1327753,-083.7676037
Sullivan,NH,+43.3611883,-072.2220839
Iroquois,IL,+40.7488665,-087.8336010
Poweshiek,IA,+41.6846421,-092.5229344
Wayne,OH,+40.8296612,-081.8871942
Fayette,GA,+33.4127172,-084.4939407
Hancock,GA,+33.2692195,-083.0004653
Kendall,TX,+29.9435246,-098.7092693
Greene,NY,+42.2869702,-074.1495421
Orange,VA,+38.2493265,-078.0110923
McCurtain,OK,+34.1170728,-094.7660863
Tift,GA,+31.4570027,-083.5259307
Cass,NE,+40.9098778,-096.1406086
Kingsbury,SD,+44.3629687,-097.4993130
Converse,WY,+42.9846234,-105.5247521
Herkimer,NY,+43.5710090,-074.8410968
Logan,ND,+46.4692780,-099.5045846
Gogebic,MI,+46.4880535,-089.7883140
Becker,MN,+46.9376289,-095.7417568
Marshall,AL,+34.3095637,-086.3216681
Union,TN,+36.2841401,-083.8360878
Mineral,WV,+39.4047806,-078.9566899
Ashland,WI,+46.5444245,-090.6796907
Ford,IL,+40.5965386,-088.2245882
Emmons,ND,+46.2842552,-100.2378424
Shasta,CA,+40.7605142,-122.0435558
Vermilion,LA,+29.8066377,-092.3213940
Randolph,AR,+36.3412985,-091.0284409
Oneida,WI,+45.7161762,-089.5345333
East Carroll,LA,+32.7301699,-091.2341409
East Feliciana,LA,+30.8397837,-091.0434338
St. Bernard,LA,+29.9181102,-089.2634941
Wharton,TX,+29.2784805,-096.2296745
Prince of Wales-Hyder,AK,+55.6827733,-133.1623885
Petersburg,AK,+57.1124581,-133.0085979
Floyd,TX,+34.0737305,-101.3032742
Wrangell,AK,+56.1807793,-132.0267878
Madison,KY,+37.7255107,-084.2783618
Blount,TN,+35.6881849,-083.9229731
Gallatin,MT,+45.5180536,-111.1639214
Darlington,SC,+34.3321854,-079.9621155
Escambia,AL,+31.1222867,-087.1684097
Haralson,GA,+33.7951646,-085.2200629
Allen,KS,+37.8842285,-095.3009448
Douglas,IL,+39.7660780,-088.2228656
Greene,VA,+38.2979805,-078.4701629
Guam,GU,+13.4382885,+144.7729494
Waushara,WI,+44.1128231,-089.2397862
Izard,AR,+36.0948792,-091.9136252
Monterey,CA,+36.2401044,-121.3155781
Grant,NM,+32.7320870,-108.3815043
Miller,MO,+38.2166802,-092.4298762
Wilkes,NC,+36.2088833,-081.1660949
Juneau,AK,+58.3729099,-134.1784454
Platte,MO,+39.3786901,-094.7614764
Buchanan,MO,+39.6603695,-094.8081728
Limestone,AL,+34.8102387,-086.9813995
Henry,IN,+39.9295911,-085.3973629
Polk,NE,+41.1879253,-097.5706627
Ottawa,OH,+41.5454953,-083.0126127
Norman,MN,+47.3294529,-096.4637757
Shelby,IA,+41.6790143,-095.3089173
Carroll,MD,+39.5633280,-077.0153297
Benton,IA,+42.0925474,-092.0576300
Martin,KY,+37.7967740,-082.5066231
Chisago,MN,+45.5054439,-092.9038486
Owsley,KY,+37.4236223,-083.6916370
Bradford,PA,+41.7915044,-076.5021231
Hancock,WV,+40.5169584,-080.5701643
Cole,MO,+38.5032331,-092.2800271
Berrien,MI,+41.7913818,-086.7425435
Huntingdon,PA,+40.4223108,-077.9685953
Dawes,NE,+42.7130379,-103.1354358
Patrick,VA,+36.6671385,-080.2864130
Montmorency,MI,+45.0241337,-084.1301067
Oscoda,MI,+44.6872574,-084.1269054
Colfax,NM,+36.6129638,-104.6401105
St. Clair,IL,+38.4701976,-089.9285459
Washington,IL,+38.3531405,-089.4171873
Bedford,PA,+39.9986336,-078.4947466
Scott,AR,+34.8588693,-094.0636413
Labette,KS,+37.1914676,-095.2974732
Lawrence,PA,+40.9927352,-080.3344455
Harrison,OH,+40.2923175,-081.0915651
Alexander,NC,+35.9209506,-081.1774668
Cape May,NJ,+39.0858411,-074.8463541
Cheshire,NH,+42.9254596,-072.2481828
Marshall,MN,+48.3627284,-096.3577610
King William,VA,+37.7082604,-077.0910539
Huerfano,CO,+37.6878154,-104.9599278
Karnes,TX,+28.9089957,-097.8522048
Chester,TN,+35.4202530,-088.6113533
Scott,IL,+39.6370016,-090.4777707
Millard,UT,+38.9567436,-113.1330920
Morgan,UT,+41.0910273,-111.5778846
Kaufman,TX,+32.5989442,-096.2883773
Greenlee,AZ,+33.2388723,-109.2423231
Maricopa,AZ,+33.3451756,-112.4989296
Ogemaw,MI,+44.3332801,-084.1280728
Jackson,TN,+36.3542499,-085.6741278
Richland,IL,+38.7121872,-088.0854523
Blount,AL,+33.9773575,-086.5664400
Liberty,MT,+48.5596541,-111.0369242
Duval,TX,+27.6811232,-098.4973933
Ralls,MO,+39.5534554,-091.5247867
Johnson,TX,+32.3796540,-097.3649061
Clay,GA,+31.6198309,-084.9925826
Grant,OR,+44.4963261,-119.0140572
Coos,OR,+43.1859095,-124.0941335
Franklin,TX,+33.1758457,-095.2190662
Warren,NY,+43.5551053,-073.8381388
Madison,VA,+38.4120586,-078.2769614
Atoka,OK,+34.3924691,-096.0365577
Menard,IL,+40.0225693,-089.7941326
Bartow,GA,+34.2409175,-084.8381879
Lake,FL,+28.7641128,-081.7122822
Okmulgee,OK,+35.6435003,-095.9659468
Sheridan,ND,+47.5813594,-100.3309858
Fulton,IN,+41.0503837,-086.2650060
Johnson,KS,+38.8839065,-094.8223295
Calvert,MD,+38.5227191,-076.5297621
Washburn,WI,+45.8924885,-091.7964217
Jefferson,WA,+47.8057075,-123.5270572
Aguada,PR,+18.3756735,-067.1857450
Winona,MN,+43.9813526,-091.7770438
Warren,MS,+32.3560946,-090.8523838
Andrew,MO,+39.9888628,-094.8035511
Montgomery,MO,+38.9351835,-091.4654270
Cherokee,KS,+37.1693922,-094.8456975
Halifax,NC,+36.2514375,-077.6448423
Sandoval,NM,+35.6850913,-106.8831191
Clay,KY,+37.1642726,-083.7154535
Clinton,PA,+41.2395075,-077.6290090
Linn,OR,+44.4888982,-122.5372084
Lafayette,WI,+42.6555782,-090.1302916
Washington,OK,+36.7044030,-095.9062525
Preston,WV,+39.4690296,-079.6688649
Rota,MP,+14.1524934,+145.2129037
Waupaca,WI,+44.4780043,-088.9670053
Edwards,TX,+29.9859327,-100.3073997
Lake,OR,+42.7884009,-120.3897896
Ozark,MO,+36.6495904,-092.4585492
Waller,TX,+30.0135901,-095.9821493
Monroe,AL,+31.5803531,-087.3833416
Essex,VT,+44.7240209,-071.7327362
Lunenburg,VA,+36.9455547,-078.2405281
Traill,ND,+47.4462708,-097.1646358
Hall,GA,+34.3175689,-083.8184997
Treutlen,GA,+32.4095857,-082.5708819
Calhoun,GA,+31.5212790,-084.6262895
Vilas,WI,+46.0498480,-089.5012540
Beltrami,MN,+47.8795077,-095.0050500
Coamo,PR,+18.1037997,-066.3575862
Guánica,PR,+17.9482095,-066.9229352
Dorchester,MD,+38.4291957,-076.0474333
Columbia,PA,+41.0455174,-076.4042599
Clark,OH,+39.9170315,-083.7836760
Maverick,TX,+28.7297873,-100.3166780
Pima,AZ,+32.1280380,-111.7836574
Cibola,NM,+34.9282721,-107.9926805
Burlington,NJ,+39.8757858,-074.6630063
Rutland,VT,+43.6123987,-073.0603041
Early,GA,+31.3241906,-084.9067225
Dukes,MA,+41.3809696,-070.7014995
McHenry,ND,+48.2338417,-100.6332668
Wayne,NE,+42.2107460,-097.1262433
LaMoure,ND,+46.4641952,-098.5260571
Butte,ID,+43.6851010,-113.1776308
Coos,NH,+44.6525477,-071.2894309
Kidder,ND,+46.9382725,-099.7311980
Kleberg,TX,+27.4387348,-097.6606203
Porter,IN,+41.5099144,-087.0713128
Newton,MS,+32.4019702,-089.1184115
Sampson,NC,+34.9892978,-078.3712605
Moore,TN,+35.2888885,-086.3586840
Pinellas,FL,+27.9053425,-082.7980663
Barranquitas,PR,+18.2000184,-066.3092822
Hamilton,IL,+38.0852273,-088.5390093
Perry,AR,+34.9463629,-092.9268773
Cheyenne,KS,+39.7899014,-101.7273171
Delta,CO,+38.8614231,-107.8650433
Wayne,IA,+40.7399827,-093.3326126
Gaines,TX,+32.7439423,-102.6315614
Marion,AL,+34.1382194,-087.8815510
Watauga,NC,+36.2353679,-081.7098875
Roanoke,VA,+37.2784580,-079.9581739
Martin,TX,+32.3098298,-101.9618363
Bowie,TX,+33.4460648,-094.4223930
Weber,UT,+41.2703252,-111.8768830
Marion,MO,+39.8075383,-091.6353791
Jefferson,NY,+43.9963890,-076.0529678
Jackson,IA,+42.1642256,-090.5745819
Nelson,ND,+47.9186666,-098.2044278
Clinton,NY,+44.7527120,-073.7056429
Garfield,CO,+39.5993517,-107.9097802
Ray,MO,+39.3084005,-093.9957462
Hocking,OH,+39.4903424,-082.4834473
Lowndes,AL,+32.1478880,-086.6505859
Candler,GA,+32.4039497,-082.0712656
Linn,IA,+42.0779506,-091.5976735
Trinity,CA,+40.6478582,-123.1146660
Muscogee,GA,+32.5101909,-084.8749462
Tallahatchie,MS,+33.9545292,-090.1722434
Atchison,KS,+39.5325441,-095.3133975
Lares,PR,+18.2769246,-066.8695875
Andrews,TX,+32.3122581,-102.6402058
Miami,OH,+40.0533257,-084.2284135
Potter,TX,+35.3986751,-101.8938040
Seminole,OK,+35.1583657,-096.6028575
Aiken,SC,+33.5500134,-081.6329830
Manu'a,AS,-14.2198008,-169.5076973
Mendocino,CA,+39.4323876,-123.4428811
Chesapeake,VA,+36.6793761,-076.3017884
Tinian,MP,+15.0010865,+145.6181702
Yauco,PR,+18.0856688,-066.8579009
Sweetwater,WY,+41.6603282,-108.8756774
Garza,TX,+33.1837920,-101.3011341
Hardy,WV,+39.0113612,-078.8417292
Adjuntas,PR,+18.1816112,-066.7581652
Ozaukee,WI,+43.5018069,-087.8475515
Sullivan,TN,+36.5096806,-082.3013363
Laurens,SC,+34.4836761,-082.0054976
Crook,WY,+44.5892657,-104.5672975
Sheboygan,WI,+43.7387131,-087.7315310
Hampden,MA,+42.1361975,-072.6356476
Caldwell,TX,+29.8323986,-097.6281410
Cloud,KS,+39.4873286,-097.6413898
Inyo,CA,+36.5621604,-117.4042092
Coosa,AL,+32.9314453,-086.2434818
Dickinson,IA,+43.3896107,-095.1960572
Harlan,KY,+36.8592233,-083.2214968
Geary,KS,+39.0021387,-096.7680996
Berks,PA,+40.4139565,-075.9268598
Carter,TN,+36.2847441,-082.1265932
Lyon,MN,+44.4091953,-095.8472678
Charlotte,VA,+37.0090421,-078.6585682
Washington,TN,+36.2956649,-082.4950374
Newberry,SC,+34.2898805,-081.5996761
Isle of Wight,VA,+36.9014184,-076.7075688
Wheeler,OR,+44.7364146,-120.0268608
Butler,MO,+36.7151802,-090.4031300
Iberville,LA,+30.2706580,-091.3658703
Sharkey,MS,+32.8923946,-090.8276129
Fauquier,VA,+38.7440956,-077.8215005
Radford,VA,+37.1201194,-080.5591473
Douglas,NV,+38.9051292,-119.6090191
Franklin,FL,+29.6777939,-084.8152135
Greene,IN,+39.0471466,-087.0047712
Rush,IN,+39.6223650,-085.4665362
Washington,WI,+43.3911560,-088.2329166
Laclede,MO,+37.6596977,-092.5948430
Mercer,PA,+41.3000142,-080.2527863
Craighead,AR,+35.8277285,-090.6314213
Saline,MO,+39.1358403,-093.2041639
White,IL,+38.0873259,-088.1786227
De Witt,IL,+40.1814993,-088.9018526
White Pine,NV,+39.4181759,-114.9005649
Goodhue,MN,+44.4061779,-092.7160003
Swain,NC,+35.5688491,-083.4656136
Pasco,FL,+28.3098227,-082.5110062
Sumter,FL,+28.7133259,-082.0695216
Nassau,NY,+40.7296118,-073.5894144
Steele,ND,+47.4510624,-097.7189200
Vanderburgh,IN,+38.0200703,-087.5861659
Franklin,MO,+38.4130031,-091.0728320
Avery,NC,+36.0720900,-081.9202847
Wood,WV,+39.2116023,-081.5162340
Bayfield,WI,+46.6341992,-091.1772815
Stewart,TN,+36.4584642,-087.8118894
Portage,WI,+44.4762457,-089.4980699
Lexington,SC,+33.8923094,-081.2729736
Anne Arundel,MD,+38.9916174,-076.5608941
Fond du Lac,WI,+43.7547219,-088.4932840
Webster,WV,+38.4834590,-080.4490515
Kewaunee,WI,+44.6056771,-087.4480081
Parmer,TX,+34.5321628,-102.7848533
Woods,OK,+36.7269843,-098.8636490
Elliott,KY,+38.1168826,-083.0961160
Berkshire,MA,+42.3714930,-073.2179276
Chariton,MO,+39.5179685,-092.9616205
Rio Blanco,CO,+39.9726223,-108.2007155
Morgan,CO,+40.2631590,-103.8122102
Malheur,OR,+43.1886252,-117.6031915
Middlesex,NJ,+40.4396214,-074.4074303
Russell,KS,+38.9160397,-098.7709489
Putnam,IL,+41.1989613,-089.2983474
Haakon,SD,+44.2880971,-101.5408561
Macon,TN,+36.5377572,-086.0009596
Cleburne,AR,+35.5936279,-092.0088982
Pike,AL,+31.7986533,-085.9416076
Adams,ID,+44.8769548,-116.4616143
Bristol,MA,+41.7485884,-071.0888940
Schuylkill,PA,+40.7036820,-076.2177878
Wells,ND,+47.5808513,-099.6822135
Cleveland,NC,+35.3346302,-081.5571145
Hot Spring,AR,+34.3151767,-092.9441474
Frederick,MD,+39.4701773,-077.3976358
Schuyler,IL,+40.1569048,-090.6134641
Mono,CA,+37.9158363,-118.8751668
Tuolumne,CA,+38.0214344,-119.9647335
Doña Ana,NM,+32.3499190,-106.8349684
Crisp,GA,+31.9202675,-083.7565301
Columbia,AR,+33.2230377,-093.2328433
Griggs,ND,+47.4563342,-098.2322863
Solano,CA,+38.2672255,-121.9395940
Clayton,IA,+42.8409849,-091.3235764
Titus,TX,+33.2145990,-094.9667825
Hampshire,WV,+39.3121395,-078.6119886
Moore,NC,+35.3082734,-079.4927233
Barton,KS,+38.4812394,-098.7678374
Slope,ND,+46.4458338,-103.4624620
Richland,LA,+32.4131580,-091.7483534
Garfield,NE,+41.9069119,-098.9512834
St. Martin,LA,+30.1214329,-091.6114814
Sumter,AL,+32.5974811,-088.2000571
Winston,AL,+34.1545665,-087.3653458
Seminole,FL,+28.6900648,-081.1319751
Forrest,MS,+31.1885802,-089.2594467
Ingham,MI,+42.6035338,-084.3738107
Shawnee,KS,+39.0418053,-095.7556640
Hanson,SD,+43.6806116,-097.7968454
Itasca,MN,+47.4908166,-093.6111022
Lincoln,CO,+38.9937401,-103.5075545
Madison,NY,+42.9100255,-075.6635749
Washington,NY,+43.3123766,-073.4394282
Johnson,IN,+39.4960920,-086.0942641
Terry,TX,+33.1712290,-102.3392840
Harding,NM,+35.8593523,-103.8534243
Talladega,AL,+33.3693135,-086.1759302
Langlade,WI,+45.2548634,-089.0670703
Foard,TX,+33.9633063,-099.8168285
Buena Vista,IA,+42.7415219,-095.1414324
Mills,IA,+41.0337028,-095.6191010
Real,TX,+29.8300967,-099.8125490
Delaware,OH,+40.2789411,-083.0074622
Forsyth,NC,+36.1324661,-080.2569608
Carson City,NV,+39.1530598,-119.7473681
Dallas,IA,+41.6853205,-094.0407065
Carson,TX,+35.4054961,-101.3553558
Sumter,GA,+32.0422659,-084.2042935
Wayne,MO,+37.1110737,-090.4539307
Anderson,SC,+34.5212350,-082.6386029
Carbon,WY,+41.7035904,-106.9331526
Silver Bow,MT,+45.8962319,-112.6600714
Stephenson,IL,+42.3497262,-089.6659942
Lapeer,MI,+43.0886327,-083.2243247
Claiborne,LA,+32.8271597,-092.9897278
Yalobusha,MS,+34.0306661,-089.7038072
Maricao,PR,+18.1739559,-066.9355468
Kalkaska,MI,+44.6788808,-085.0889915
Aguadilla,PR,+18.4801911,-067.1437616
Evangeline,LA,+30.7206932,-092.4040858
Hardeman,TN,+35.2187853,-088.9886970
Cochise,AZ,+31.8401287,-109.7751627
Hidalgo,NM,+31.8980519,-108.7519293
Divide,ND,+48.8147537,-103.5093256
San Bernardino,CA,+34.8566615,-116.1815707
Montezuma,CO,+37.3380247,-108.5957864
Clarke,MS,+32.0453738,-088.6879756
Marion,IA,+41.3314327,-093.0938678
Douglas,NE,+41.2970908,-096.1540664
Fairfax,VA,+38.8531833,-077.2990252
Harmon,OK,+34.7459710,-099.8441936
Cedar,MO,+37.7336549,-093.8500144
Clarke,GA,+33.9521852,-083.3671522
Valley,ID,+44.8559596,-115.6180612
Knox,TX,+33.6118897,-099.7303563
Ouachita,AR,+33.5911684,-092.8784131
Darke,OH,+40.1314669,-084.6211906
Kay,OK,+36.8148851,-097.1438616
Dewey,SD,+45.1480490,-100.8379534
Tillamook,OR,+45.4558895,-123.7592988
Coweta,GA,+33.3528965,-084.7621381
Simpson,MS,+31.9025047,-089.9177086
Stone,MS,+30.7901840,-089.1122970
Contra Costa,CA,+37.9194790,-121.9515431
Carroll,TN,+35.9657478,-088.4523791
Henrico,VA,+37.4375205,-077.3003330
Owen,IN,+39.3173394,-086.8388453
Westchester,NY,+41.1526862,-073.7457526
Bollinger,MO,+37.3184272,-090.0246452
McDowell,WV,+37.3827604,-081.6582040
Harrison,WV,+39.2791820,-080.3864982
Granville,NC,+36.2998840,-078.6576338
Pierce,NE,+42.2714129,-097.6109917
Bleckley,GA,+32.4354034,-083.3317174
Burke,GA,+33.0601805,-082.0001638
Union,IL,+37.4856521,-089.2446391
Kankakee,IL,+41.1395105,-087.8611165
McIntosh,ND,+46.1086815,-099.4164868
Platte,NE,+41.5768655,-097.5134673
Warren,NC,+36.3981051,-078.0998993
Aibonito,PR,+18.1307232,-066.2644602
Marion,GA,+32.3593118,-084.5287354
Clay,SD,+42.9161495,-096.9804680
Sussex,DE,+38.6732275,-075.3370237
Jasper,GA,+33.3169807,-083.6891515
Randolph,MO,+39.4392486,-092.4929595
Butler,KS,+37.7736487,-096.8388402
Hays,TX,+30.0612247,-098.0292673
Medina,TX,+29.3536614,-099.1110845
Mason,MI,+43.9571957,-086.4429369
Beaufort,SC,+32.3581120,-080.6894218
Yankton,SD,+43.0066030,-097.3883614
Rock,WI,+42.6698802,-089.0752844
Pickens,SC,+34.8853677,-082.7233774
Columbia,WA,+46.2928505,-117.9116345
Clinton,IN,+40.3059440,-086.4775665
Clinton,IL,+38.6062953,-089.4262278
Minidoka,ID,+42.8572114,-113.6398404
Sullivan,PA,+41.4392848,-076.5117166
Rankin,MS,+32.2671233,-089.9460630
Motley,TX,+34.0578993,-100.7931519
Lane,OR,+43.9283337,-122.8975806
Wichita,TX,+33.9882125,-098.7080098
Shiawassee,MI,+42.9515446,-084.1463518
Jewell,KS,+39.7770053,-098.2226185
Mitchell,KS,+39.3930256,-098.2073621
Bradford,FL,+29.9523863,-082.1666983
Marion,MS,+31.2315104,-089.8223068
George,MS,+30.8554305,-088.6422679
Jo Daviess,IL,+42.3623905,-090.2114705
Hancock,IN,+39.8225286,-085.7731503
Franklin,VA,+36.6840142,-076.9413956
Midland,TX,+31.8142693,-102.0024538
Scott,KS,+38.4818768,-100.9063604
Cascade,MT,+47.3165751,-111.3502622
Harrisonburg,VA,+38.4362547,-078.8733028
Williamson,IL,+37.7303533,-088.9300182
Flathead,MT,+48.2954221,-114.0520587
Peñuelas,PR,+18.0266179,-066.7281249
Stevens,KS,+37.2017002,-101.3172684
Fayette,KY,+38.0406777,-084.4582721
Hancock,KY,+37.8433252,-086.7927612
Brown,SD,+45.5892542,-098.3521746
Barbour,WV,+39.1397248,-079.9969466
Wayne,TN,+35.2428473,-087.8198433
Box Butte,NE,+42.2103804,-103.0817795
Northumberland,PA,+40.8515244,-076.7098770
Victoria,TX,+28.7963699,-096.9711977
Buena Vista,VA,+37.7293448,-079.3581337
St. Clair,MI,+42.9288035,-082.6689135
Thurston,NE,+42.1540613,-096.5339428
Lamoille,VT,+44.6111921,-072.6326590
Franklin,VA,+36.9911862,-079.8827149
Blaine,OK,+35.8777951,-098.4290308
Kittitas,WA,+47.1244411,-120.6767092
Randolph,IN,+40.1640793,-085.0057896
Kane,UT,+37.2750892,-111.8153290
Tucker,WV,+39.1111751,-079.5599678
Ponce,PR,+18.0017167,-066.6066625
Crawford,WI,+43.2427683,-090.9351850
Jackson,AL,+34.7641140,-085.9800556
Mahaska,IA,+41.3307973,-092.6363661
Douglas,KS,+38.8964168,-095.2909475
Daviess,KY,+37.7316710,-087.0871390
Powell,KY,+37.8095668,-083.8312347
Jasper,MO,+37.2051967,-094.3372594
Union,OR,+45.3040809,-117.9991488
Henry,GA,+33.4529466,-084.1540207
Adams,ND,+46.0968146,-102.5331983
Pamlico,NC,+35.1475747,-076.6652684
Graves,KY,+36.7233435,-088.6498974
Cambria,PA,+40.5102089,-078.7104876
McMinn,TN,+35.4244722,-084.6199488
Livingston,MI,+42.6025316,-083.9117183
Adams,CO,+39.8743252,-104.3318718
Lackawanna,PA,+41.4366359,-075.6087683
Pontotoc,OK,+34.7214206,-096.6918036
Creek,OK,+35.9073976,-096.3801769
Tyler,TX,+30.7692953,-094.3756561
Van Buren,TN,+35.6992335,-085.4584092
Pottawatomie,OK,+35.2113915,-096.9570036
Socorro,NM,+33.9916579,-106.9391362
Atkinson,GA,+31.2968056,-082.8781511
Duval,FL,+30.3352449,-081.6481132
Falls,TX,+31.2519298,-096.9341275
Yell,AR,+34.9977133,-093.4083032
Comanche,KS,+37.1814417,-099.2512929
Jessamine,KY,+37.8732908,-084.5839603
Monroe,KY,+36.7140770,-085.7135080
Kiowa,OK,+34.9214893,-098.9816168
Lake,SD,+44.0284497,-097.1232229
Caswell,NC,+36.3942984,-079.3396090
Presidio,TX,+30.0058912,-104.2616192
Greene,OH,+39.6874785,-083.8948943
Willacy,TX,+26.4818607,-097.5947313
Bayamón,PR,+18.3494195,-066.1686259
Los Alamos,NM,+35.8700469,-106.3079679
Kenai Peninsula,AK,+60.3666677,-152.3222833
Baldwin,AL,+30.6592183,-087.7460666
Appanoose,IA,+40.7442493,-092.8730616
St. Croix,VI,+17.7353214,-064.7467405
New Kent,VA,+37.5101601,-076.9993305
Talbot,GA,+32.7046026,-084.5300288
Lewis,NY,+43.7827061,-075.4441316
Clay,WV,+38.4598259,-081.0818663
Jefferson,IN,+38.7836039,-085.4400900
Bedford,VA,+37.3122568,-079.5272234
Mora,NM,+35.9828413,-104.9218975
Boone,NE,+41.7039345,-098.0704764
Oregon,MO,+36.6853104,-091.4018272
Houston,TN,+36.2857824,-087.7055983
Wyoming,PA,+41.5251673,-076.0086823
Lenoir,NC,+35.2400662,-077.6355141
Vigo,IN,+39.4308740,-087.3909894
Elkhart,IN,+41.6006928,-085.8639864
